"id	text	user.favourites_count	user.id	lang	user.followers_count	user.verified	truncated",,
"593891099548094465	video: sturgeon post-election deals 	0.0	557422508	en	184	False	False",,
"593891101313896449	lolz trickle wealth. it's never trickling past wallets. greed always wins $$$ greedy. 	2677.0	2471552766	en	966	False	False",,
"593891101766918144	snp leader faces audience questions 	0.0	557422508	en	184	False	False",,
"593891102480007169	miliband refusing deal snp plan forming government? 	492.0	390331913	en	174	False	False",,
"593891103184551936	cameron wins last tv contest election campaign poll: london (reuters) prime minister david cameron the… 	4.0	2724103423	en	102	False	False",,
"593891102895296512	dare @edmiliband_mp force socialists chose english lp snp! #snp last true socialist party uk 	820.0	343918719	en	937	False	False",,
"593891103272665088	watch: miliband trips stage following question time leaders special 	14663.0	160930875	en	10171	False	False",,
"593891104870813699	@b0mbskare anti-scottish feeling largely product tory press scaremongering. practice people won't give toss! 	1735.0	1584156685	en	377	False	False",,
"593891105457897472	miliband stumbles cameron dodges 	0.0	323685593	en	294	False	False",,
"593891105935994880	miliband i'd pass pm job rather deal scots nationalists: london (reuters) british labour party… 	4.0	2724103423	en	102	False	False",,
"593891106921799680	@scottishpleb @ahairybiker snp toxic england. would labour want deal them? 	1933.0	336162378	en	2356	False	False",,
"593891107437699072	jeremy vine doesn't think snp scottish takeover merits 	1.0	3202460764	en	5	False	False",,
"593891107039215616	“@suttonnick: friday's times front page: miliband savaged ‘lies’ spending #tomorrowspaperstoday #bbcpapers 	241693.0	159072956	en	40337	False	False",,
"593891108117155840	@kthopkins snp thickos look forward balance power bringing fair decent policies fascists bigots like detest! 	111.0	2791535302	en	4	False	False",,
"593891108716961792	""tory dad: """"if ukip chance i'd definitely vote them."""" *5 mins later* """"you blinkered!!! closed minded!!"""" sure? ""	1024.0	30728366	en	320	False	False",,
"593891109580967936	tonight's polling average: con 33.7% lab 33% ukip 13% lib dem 8% green 5.7%. 	987.0	138076595	en	289	False	False",,
"593891111799783424	@nigel_farage ed's rejection lab/snp deal undermine cameron's plea ukippers 'come home' basis proposal? 	100.0	572909495	en	178	False	False",,
"593891112407924736	account every penny? like last time? nose 2 foot long! 	1205.0	1298754739	en	119	False	False",,
"593891113481572353	clegg: education spending coalition 'red line' itv news 	0.0	773391421	en	164	False	False",,
"593891113498443776	shut ns may 8. #prettyplease 	20.0	416610759	en	243	False	False",,
"593891114215723008	fucking biased #bbc allowing @nigel_farage #leadersdebate program own... #nigelfarage #ukip #ge2015 	10777.0	2239487486	en	1473	False	False",,
"593891114475716608	'i'm going cave snp trident deficit'. left-wing party favour nuclear weapons maintaing austerity 	283.0	1303763558	en	165	False	False",,
"593891115457064960	video: sturgeon post-election deals 	0.0	323685593	en	294	False	False",,
"593891115658383360	watch: miliband trips stage following question time leaders special 	68.0	453176496	en	1060	False	False",,
"593891116363214848	@scotlandtonight miliband step aside let tories need 59 snp mps ever stand scotland @thesnp #votesnp 	219.0	20048514	en	94	False	False",,
"593891117269155841	#newsnight farage talking cr*p nearly half hour. tough call; though farage might well melt yet w/audience questions.. 	25.0	405194953	en	1861	False	False",,
"593891117638254592	kind like/support nick clegg hahahaha 	720.0	2547024664	en	118	False	False",,
"593891118045110272	couldn't watch leaders q&amp;as tonight scholarship dinner said dinner argued labour doesn't need want snp 	1331.0	102098702	en	273	False	False",,
"593891118732849152	snp leader faces audience questions 	0.0	323685593	en	294	False	False",,
"593891120767225856	""""""making love cards he's tory"""" ""	3946.0	336530746	en	829	False	False",,
"593891120825954304	audience member: million's people using foodbanks? david cameron: here's letter saying there's money left 	1842.0	1950008834	en	713	False	False",,
"593891121111179265	david cameron hugs another husky storms #david cameron #hugahusky #davidcamerontweet #greatstorm 2013 #stjude 	0.0	1257694519	en	24	False	False",,
"593891121194995712	fair point...... 	83.0	19286879	en	662	False	False",,
"593891122541240320	watch: miliband trips stage following question time leaders special 	5.0	2768062344	en	492	False	False",,
"593891123183099906	miliband fell stage... going run country?!?!?!???? 	953.0	363838141	en	199	False	False",,
"593891123325771776	@daniel__brookes @sarahduk121 @nigel_farage @ukip that's tad semantic? perhaps use recent general election results best guide 	1219.0	22848976	en	553	False	False",,
"593891123766099970	historic link labour trade unions break thanks snp | via @telegraph 	67.0	852919230	en	926	False	False",,
"593891124953161728	#ukip win #farageforever 	856.0	382885872	en	236	False	False",,
"593891126261592064	watch: miliband trips stage following question time leaders special 	0.0	2701597927	en	153	False	False",,
"593891127197073408	bbc question time's election special interview various party leaders miliband relented the... 	5.0	21105283	en	59	False	False",,
"593891127545180162	bbc scotlands entire lead story 'nicola sturgeon won't rule she's already ruled out' 	811.0	23298323	en	222	False	False",,
"593891127918485504	like libdem leader mr c said make hard brave decision 5yrs ago save britain becm like greece; huge impact stories 	7.0	633315980	en	49	False	False",,
"593891129713635329	see @bbcnickrobinson best spin tories. lame. predictable lame. #bbcqt 	213.0	285775472	en	106	False	False",,
