	id	text	user.favourites_count	user.id	lang	user.followers_count	user.verified	truncated
0	593891099548094465	video: sturgeon on post-election deals 	0.0	557422508	en	184	False	False
1	593891101313896449	lolz to trickle down wealth. it's never trickling past their own wallets. greed always wins $$$ for the greedy. 	2677.0	2471552766	en	966	False	False
2	593891101766918144	snp leader faces audience questions 	0.0	557422508	en	184	False	False
3	593891102480007169	if miliband is refusing to do any deal with the snp, how does he plan on forming a government? 	492.0	390331913	en	174	False	False
4	593891103184551936	cameron wins last tv contest of election campaign - poll: london (reuters) - prime minister david cameron won the… 	4.0	2724103423	en	102	False	False
5	593891102895296512	how dare @edmiliband_mp force socialists to chose between the english lp and the snp! the #snp are the last, true socialist party in the uk 	820.0	343918719	en	937	False	False
6	593891103272665088	watch: ed miliband trips off the stage following question time leaders special 	14663.0	160930875	en	10171	False	False
7	593891104870813699	@b0mbskare the anti-scottish feeling is largely a product of tory press scaremongering. in practice most people won't give a toss! 	1735.0	1584156685	en	377	False	False
8	593891105457897472	miliband stumbles, cameron dodges 	0.0	323685593	en	294	False	False
9	593891105935994880	miliband - i'd pass on pm job rather than do deal with scots nationalists: london (reuters) - british labour party… 	4.0	2724103423	en	102	False	False
10	593891106921799680	@scottishpleb @ahairybiker snp toxic in england. why would labour want to do a deal with them? 	1933.0	336162378	en	2356	False	False
11	593891107437699072	jeremy vine doesn't think the snp scottish takeover merits a mention 	1.0	3202460764	en	5	False	False
12	593891107039215616	“@suttonnick: friday's times front page: miliband savaged for ‘lies’ over spending #tomorrowspaperstoday #bbcpapers 	241693.0	159072956	en	40337	False	False
13	593891108117155840	@kthopkins snp thickos look forward to having the balance of power, bringing fair, decent policies that fascists bigots like u detest! 	111.0	2791535302	en	4	False	False
14	593891108716961792	"my tory dad: ""if ukip had a chance here i'd definitely vote for them."" *5 mins later* ""you are so blinkered!!! so closed minded!!"" u sure? "	1024.0	30728366	en	320	False	False
15	593891109580967936	tonight's polling average: con 33.7%, lab 33%, ukip 13%, lib dem 8% and green 5.7%. 	987.0	138076595	en	289	False	False
16	593891111799783424	@nigel_farage does ed's rejection of lab/snp deal undermine cameron's plea to ukippers to 'come home' on the basis of that proposal? 	100.0	572909495	en	178	False	False
17	593891112407924736	account for every penny? like you did last time? your nose should be 2 foot long! 	1205.0	1298754739	en	119	False	False
18	593891113481572353	clegg: education spending is a coalition 'red line' - itv news 	0.0	773391421	en	164	False	False
19	593891113498443776	can you shut the ns down until may 8. #prettyplease 	20.0	416610759	en	243	False	False
20	593891114215723008	fucking biased #bbc allowing @nigel_farage to have a #leadersdebate program all of his own... #nigelfarage #ukip #ge2015 	10777.0	2239487486	en	1473	False	False
21	593891114475716608	'i'm not going to cave in to the snp over trident and the deficit'. a left-wing party in favour of nuclear weapons and maintaing austerity 	283.0	1303763558	en	165	False	False
22	593891115457064960	video: sturgeon on post-election deals 	0.0	323685593	en	294	False	False
23	593891115658383360	watch: ed miliband trips off the stage following question time leaders special 	68.0	453176496	en	1060	False	False
24	593891116363214848	@scotlandtonight if miliband will step aside to let tories in, we need 59 snp mps more than ever to stand up for scotland @thesnp #votesnp 	219.0	20048514	en	94	False	False
25	593891117269155841	#newsnight or farage talking cr*p for nearly half an hour. a tough call; though farage might well melt down yet again w/audience questions.. 	25.0	405194953	en	1861	False	False
26	593891117638254592	kind of like/support nick clegg hahahaha 	720.0	2547024664	en	118	False	False
27	593891118045110272	couldn't watch the leaders q&amp;as tonight as i was at a scholarship dinner, but at said dinner i argued labour doesn't need nor want the snp 	1331.0	102098702	en	273	False	False
28	593891118732849152	snp leader faces audience questions 	0.0	323685593	en	294	False	False
29	593891120767225856	"""making love is not on the cards here, he's a tory"" "	3946.0	336530746	en	829	False	False
30	593891120825954304	audience member: why are million's more people using foodbanks? david cameron: here's a letter saying there's no money left 	1842.0	1950008834	en	713	False	False
31	593891121111179265	david cameron hugs another husky in the storms #david cameron #hugahusky #davidcamerontweet #greatstorm 2013 #stjude 	0.0	1257694519	en	24	False	False
32	593891121194995712	fair point...... 	83.0	19286879	en	662	False	False
33	593891122541240320	watch: ed miliband trips off the stage following question time leaders special 	5.0	2768062344	en	492	False	False
34	593891123183099906	ed miliband fell of stage... how is he going to run the country?!?!?!???? 	953.0	363838141	en	199	False	False
35	593891123325771776	@daniel__brookes @sarahduk121 @nigel_farage @ukip that's a tad semantic? perhaps we should use recent general election results as best guide 	1219.0	22848976	en	553	False	False
36	593891123766099970	the historic link between labour and the trade unions is about to break - thanks to the snp | via @telegraph 	67.0	852919230	en	926	False	False
37	593891124953161728	#ukip to win #farageforever 	856.0	382885872	en	236	False	False
38	593891126261592064	watch: ed miliband trips off the stage following question time leaders special 	0.0	2701597927	en	153	False	False
39	593891127197073408	so, on bbc question time's election special interview with the various party leaders, miliband relented to the... 	5.0	21105283	en	59	False	False
40	593891127545180162	bbc scotlands entire lead story is 'nicola sturgeon won't rule out what she's already ruled out' 	811.0	23298323	en	222	False	False
